sub_basin_number,basin_name,subbasin_name,subbasin,acres,sq_miles,priority,popup_html
7-033,East Salton Sea,East Salton Sea,East Salton Sea,"194,844",304,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">East Salton Sea</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">East Salton Sea</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">194,844</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">304</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-033</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-054,Buck Ridge Fault Valley,Buck Ridge Fault Valley,Buck Ridge Fault Valley,"6,914",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Buck Ridge Fault Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Buck Ridge Fault Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">6,914</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-054</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-026,Terwilliger Valley,Terwilliger Valley,Terwilliger Valley,"8,017",12,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Terwilliger Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Terwilliger Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">8,017</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">12</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-026</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-037,Arroyo Seco Valley,Arroyo Seco Valley,Arroyo Seco Valley,"256,478",401,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Arroyo Seco Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Arroyo Seco Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">256,478</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">401</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-037</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-063,Vandeventer Flat,Vandeventer Flat,Vandeventer Flat,"6,732",10,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Vandeventer Flat</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Vandeventer Flat</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">6,732</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">10</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-063</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
9-006,Cahuilla Valley,Cahuilla Valley,Cahuilla Valley,"18,202",28,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Cahuilla Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Cahuilla Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">18,202</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">28</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">9-006</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
9-005,Temecula Valley,Temecula Valley,Temecula Valley,"87,753",137,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Temecula Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Temecula Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">87,753</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">137</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">9-005</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
9-001,San Juan Valley,San Juan Valley,San Juan Valley,"16,712",26,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">San Juan Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">San Juan Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">16,712</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">26</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">9-001</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-032,Chocolate Valley,Chocolate Valley,Chocolate Valley,"129,107",202,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Chocolate Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Chocolate Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">129,107</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">202</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-032</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
8-006,Hemet Lake Valley,Hemet Lake Valley,Hemet Lake Valley,"16,680",26,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Hemet Lake Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Hemet Lake Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">16,680</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">26</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">8-006</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-031,Orocopia Valley,Orocopia Valley,Orocopia Valley,"96,224",150,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Orocopia Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Orocopia Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">96,224</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">150</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-031</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-038,Palo Verde Valley,Palo Verde Valley,Palo Verde Valley,"72,934",114,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Palo Verde Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Palo Verde Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">72,934</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">114</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-038</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-039,Palo Verde Mesa,Palo Verde Mesa,Palo Verde Mesa,"224,911",351,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Palo Verde Mesa</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Palo Verde Mesa</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">224,911</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">351</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-039</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-021.01,Coachella Valley,"Coachella Valley, Indio",Indio,"297,156",464,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coachella Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Indio</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">297,156</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">464</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-021.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
7-052,Pleasant Valley,Pleasant Valley,Pleasant Valley,"9,643",15,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Pleasant Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Pleasant Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">9,643</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">15</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-052</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-040,Quien Sabe Point Valley,Quien Sabe Point Valley,Quien Sabe Point Valley,"25,173",39,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Quien Sabe Point Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Quien Sabe Point Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">25,173</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">39</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-040</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-021.03,Coachella Valley,"Coachella Valley, Desert Hot Springs",Desert Hot Springs,"100,948",158,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coachella Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Desert Hot Springs</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">100,948</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">158</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-021.03</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-022,Malibu Valley,Malibu Valley,Malibu Valley,611,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Malibu Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Malibu Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">611</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-022</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-021.04,Coachella Valley,"Coachella Valley, San Gorgonio Pass",San Gorgonio Pass,"38,545",60,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coachella Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">San Gorgonio Pass</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">38,545</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">60</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-021.04</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
7-053,Hexie Mountain Area,Hexie Mountain Area,Hexie Mountain Area,"11,132",17,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Hexie Mountain Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Hexie Mountain Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">11,132</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">17</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-053</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-011.01,Coastal Plain Of Los Angeles,"Coastal Plain Of Los Angeles, Santa Monica",Santa Monica,"31,779",50,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coastal Plain Of Los Angeles</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Santa Monica</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">31,779</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">50</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-011.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
7-021.02,Coachella Valley,"Coachella Valley, Mission Creek",Mission Creek,"48,572",76,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coachella Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Mission Creek</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">48,572</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">76</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-021.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
7-005,Chuckwalla Valley,Chuckwalla Valley,Chuckwalla Valley,"601,573",940,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Chuckwalla Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Chuckwalla Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">601,573</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">940</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-005</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-011.02,Coastal Plain Of Los Angeles,"Coastal Plain Of Los Angeles, Hollywood",Hollywood,"10,070",16,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coastal Plain Of Los Angeles</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Hollywood</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">10,070</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">16</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-011.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-051,Lost Horse Valley,Lost Horse Valley,Lost Horse Valley,"17,300",27,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Lost Horse Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Lost Horse Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">17,300</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">27</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-051</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-020,Morongo Valley,Morongo Valley,Morongo Valley,"7,228",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Morongo Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Morongo Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,228</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-020</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-016,Hidden Valley,Hidden Valley,Hidden Valley,"2,211",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Hidden Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Hidden Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,211</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-016</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
7-006,Pinto Valley,Pinto Valley,Pinto Valley,"182,439",285,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Pinto Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Pinto Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">182,439</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">285</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-006</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-019,Thousand Oaks Area,Thousand Oaks Area,Thousand Oaks Area,"3,106",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Thousand Oaks Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Thousand Oaks Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">3,106</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-019</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-020,Russell Valley,Russell Valley,Russell Valley,"3,078",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Russell Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Russell Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">3,078</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-020</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
